Institucion,Area,Sexo,Cargo,Tiempo_Trabajo_Anios,Sueldo_Promedio_Institucion,Sueldo_Bruto,Predicciones
UASD,Educación,M,Profesor,16,33325,56804,123.33202996263155
MOPC,Infraestructura,F,Arquitecto,33,59952,52693,294.5086988838222
MJ,Justicia,M,Abogada,31,53010,67317,260.2171863871708
SALUD,Medicina,F,Fisioterapeuta,7,36514,67860,60.532466974462686
CODEPESCA,Pesca,M,Ingeniero,23,56863,71230,191.6270456364386
UASD,Educación,F,Profesor,25,36284,69239,217.453970418058
MOPC,Infraestructura,M,Arquitecto,28,55142,67817,234.70714763586454
MJ,Justicia,F,Abogada,24,46328,60440,211.82374354171867
SALUD,Medicina,M,Fisioterapeuta,12,31874,69224,87.99770663568009
CODEPESCA,Pesca,F,Ingeniero,5,56655,99882,49.28599824793252
UASD,Educación,M,Profesor,37,30449,64801,305.60391449991215
MOPC,Infraestructura,F,Arquitecto,7,40803,96660,61.85273188362223
MJ,Justicia,M,Abogada,37,59061,24619,314.40757160434623
SALUD,Medicina,F,Fisioterapeuta,34,40978,26868,297.3957176144671
CODEPESCA,Pesca,M,Ingeniero,14,51839,24227,111.58641935270154
UASD,Educación,F,Profesor,22,37194,82007,191.56888597129603
MOPC,Infraestructura,M,Arquitecto,21,39885,62143,168.96142970665545
MJ,Justicia,F,Abogada,29,46021,86036,255.33830435665573
SALUD,Medicina,M,Fisioterapeuta,6,50372,63632,41.35786884879673
CODEPESCA,Pesca,F,Ingeniero,15,52185,76293,135.1291382570076
UASD,Educación,M,Profesor,1,44655,99919,0.21438013253297872
MOPC,Infraestructura,F,Arquitecto,27,42226,48510,236.7273863603454
MJ,Justicia,M,Abogada,38,50826,40160,320.59798928383776
SALUD,Medicina,F,Fisioterapeuta,20,33263,54713,172.91437802399835
CODEPESCA,Pesca,M,Ingeniero,34,54524,66074,286.84799000193584
UASD,Educación,F,Profesor,7,59287,24475,67.53797206193556
MOPC,Infraestructura,M,Arquitecto,7,48919,54175,49.63287063176559
MJ,Justicia,F,Abogada,31,46376,25040,272.8910973271978
SALUD,Medicina,M,Fisioterapeuta,12,43870,88783,91.69160197919481
CODEPESCA,Pesca,F,Ingeniero,5,37347,56028,43.34497880711997
UASD,Educación,M,Profesor,4,45449,63302,22.400554920899214
MOPC,Infraestructura,F,Arquitecto,30,37697,31364,261.49823373278343
MJ,Justicia,M,Abogada,7,33505,75304,44.89126216264767
SALUD,Medicina,F,Fisioterapeuta,19,40128,97253,166.30702173195883
CODEPESCA,Pesca,M,Ingeniero,8,42570,52628,56.40364619887288
UASD,Educación,F,Profesor,16,52489,86806,143.94444544453444
MOPC,Infraestructura,M,Arquitecto,4,46030,56218,22.57932963092083
MJ,Justicia,F,Abogada,11,34258,45356,94.72467446440577
SALUD,Medicina,M,Fisioterapeuta,12,43998,96540,91.73097407317688
CODEPESCA,Pesca,F,Ingeniero,35,38450,87418,305.3391903358418
UASD,Educación,M,Profesor,33,31869,63728,271.15413026848876
MOPC,Infraestructura,F,Arquitecto,3,38960,94776,26.401160156787647
MJ,Justicia,M,Abogada,2,42300,59728,4.255514710006129
SALUD,Medicina,F,Fisioterapeuta,21,32363,32841,181.35894202449273
CODEPESCA,Pesca,M,Ingeniero,10,48639,38931,75.7146555146379
UASD,Educación,F,Profesor,28,36449,72717,243.67019837245957
MOPC,Infraestructura,M,Arquitecto,28,53260,72437,234.12868961527127
MJ,Justicia,F,Abogada,26,50802,89339,230.64351819282442
SALUD,Medicina,M,Fisioterapeuta,29,59743,87917,244.84281230027568
CODEPESCA,Pesca,F,Ingeniero,13,41786,77812,114.48673678789481
UASD,Educación,M,Profesor,24,53190,45092,199.21996414409708
MOPC,Infraestructura,F,Arquitecto,2,53815,72363,22.248130383624332
MJ,Justicia,M,Abogada,12,32884,45078,88.30898241240166
SALUD,Medicina,F,Fisioterapeuta,11,36270,59640,95.34445189451802
CODEPESCA,Pesca,M,Ingeniero,32,39261,31531,264.70910312529105
UASD,Educación,F,Profesor,38,33785,53512,330.0675828094072
MOPC,Infraestructura,M,Arquitecto,3,30687,71627,9.25072897862814
MJ,Justicia,F,Abogada,32,51242,25497,283.1096505518043
SALUD,Medicina,M,Fisioterapeuta,9,50275,67757,67.49486216304722
CODEPESCA,Pesca,F,Ingeniero,39,43164,86568,341.67749155839084
UASD,Educación,M,Profesor,39,45813,57107,327.77781659868765
MOPC,Infraestructura,F,Arquitecto,34,49999,44792,300.1709075365391
MJ,Justicia,M,Abogada,24,57806,47045,200.63861851090473
SALUD,Medicina,F,Fisioterapeuta,24,35895,26655,208.6123422488684
CODEPESCA,Pesca,M,Ingeniero,4,58312,62733,26.357233415491553
UASD,Educación,F,Profesor,39,38301,66069,340.1804940074603
MOPC,Infraestructura,M,Arquitecto,38,56250,84712,322.26555219356004
MJ,Justicia,F,Abogada,21,53961,27511,188.00617998931457
SALUD,Medicina,M,Fisioterapeuta,9,55717,70439,69.16872423734979
CODEPESCA,Pesca,F,Ingeniero,7,52016,32619,65.30242878049232
UASD,Educación,M,Profesor,6,58006,88493,43.70513603318416
MOPC,Infraestructura,F,Arquitecto,19,37643,22479,165.54179486683927
MJ,Justicia,M,Abogada,8,48400,57690,58.195674812433076
SALUD,Medicina,F,Fisioterapeuta,31,57928,31725,276.44314617288546
CODEPESCA,Pesca,M,Ingeniero,29,44081,32108,240.02707830879854
UASD,Educación,F,Profesor,31,52304,46512,274.71451742974233
MOPC,Infraestructura,M,Arquitecto,33,51507,79855,277.1984688060046
MJ,Justicia,F,Abogada,9,33572,48238,77.06922209528483
SALUD,Medicina,M,Fisioterapeuta,30,31248,84529,244.7974358587537
CODEPESCA,Pesca,F,Ingeniero,8,56652,95173,75.4504322433813
UASD,Educación,M,Profesor,17,45612,22288,135.8364238923291
MOPC,Infraestructura,F,Arquitecto,13,59754,52276,120.01468472330733
MJ,Justicia,M,Abogada,20,49639,66118,163.24050227330133
SALUD,Medicina,F,Fisioterapeuta,31,41939,68862,271.5262185508335
CODEPESCA,Pesca,M,Ingeniero,36,53637,62654,304.0190016520389
UASD,Educación,F,Profesor,8,52236,79082,74.09251131198523
MOPC,Infraestructura,M,Arquitecto,3,55328,38509,16.718372217193373
MJ,Justicia,F,Abogada,8,58669,88452,76.07040390468362
SALUD,Medicina,M,Fisioterapeuta,29,56182,67349,243.74852830246436
CODEPESCA,Pesca,F,Ingeniero,15,57039,95602,136.62244285694987
UASD,Educación,M,Profesor,19,48299,78309,154.1065272001071
MOPC,Infraestructura,F,Arquitecto,39,38632,63080,340.28245540376605
MJ,Justicia,M,Abogada,6,48356,41806,40.737717378852565
SALUD,Medicina,F,Fisioterapeuta,8,56790,47098,75.49284973929589
CODEPESCA,Pesca,M,Ingeniero,27,52739,41035,225.24663442466547
UASD,Educación,F,Profesor,2,35556,81136,16.630382718788397
MOPC,Infraestructura,M,Arquitecto,36,46988,78828,301.9738447247053
MJ,Justicia,F,Abogada,6,43002,72854,53.8071213280819
SALUD,Medicina,M,Fisioterapeuta,34,44382,97424,283.7286565701504
CODEPESCA,Pesca,F,Ingeniero,2,33890,80387,16.11716997966014
UASD,Educación,M,Profesor,38,59594,32204,323.2931527801034
MOPC,Infraestructura,F,Arquitecto,17,32055,70349,146.37686385706843
MJ,Justicia,M,Abogada,23,49238,26259,189.28255227808143
SALUD,Medicina,F,Fisioterapeuta,29,40185,77379,253.5425569378706
CODEPESCA,Pesca,M,Ingeniero,1,38772,74979,0.21533738741149094
UASD,Educación,F,Profesor,23,52221,53835,204.91459937299547
MOPC,Infraestructura,M,Arquitecto,30,33170,54081,245.38948964636592
MJ,Justicia,F,Abogada,12,58239,20455,110.82726173521803
SALUD,Medicina,M,Fisioterapeuta,37,41645,83700,309.0521172477447
CODEPESCA,Pesca,F,Ingeniero,28,32184,54568,242.35640575842933
UASD,Educación,M,Profesor,36,43531,99059,300.91049059270534
MOPC,Infraestructura,F,Arquitecto,18,45074,54614,159.10722927257154
MJ,Justicia,M,Abogada,38,56844,28163,322.4480865082749
SALUD,Medicina,F,Fisioterapeuta,32,31367,96571,276.9919383946029
CODEPESCA,Pesca,M,Ingeniero,5,40412,28847,29.573221908916175
UASD,Educación,F,Profesor,21,48378,60621,186.28891684144187
MOPC,Infraestructura,M,Arquitecto,33,50678,33592,276.9434729785739
MJ,Justicia,F,Abogada,23,42292,40943,201.86049373902716
SALUD,Medicina,M,Fisioterapeuta,15,53298,72972,120.75699816951968
CODEPESCA,Pesca,F,Ingeniero,13,57390,29188,119.28754883823247
UASD,Educación,M,Profesor,15,47453,51273,118.95910840916673
MOPC,Infraestructura,F,Arquitecto,16,30719,34626,137.2434314969659
MJ,Justicia,M,Abogada,25,38388,96195,203.38784270294988
SALUD,Medicina,F,Fisioterapeuta,29,45346,24370,255.13067807979706
CODEPESCA,Pesca,M,Ingeniero,5,31117,68311,26.71121822183047
UASD,Educación,F,Profesor,35,33991,64220,303.9656378702004
MOPC,Infraestructura,M,Arquitecto,28,33343,64994,227.9991797970706
MJ,Justicia,F,Abogada,33,48475,87503,290.9803350782458
SALUD,Medicina,M,Fisioterapeuta,6,46126,36756,40.0517599383583
CODEPESCA,Pesca,F,Ingeniero,32,48733,32308,282.337895990859
UASD,Educación,M,Profesor,34,49461,98707,285.29092895557943
MOPC,Infraestructura,F,Arquitecto,22,46479,61189,194.42659338019925
MJ,Justicia,M,Abogada,20,36508,58592,159.19972448769647
SALUD,Medicina,F,Fisioterapeuta,35,42543,81533,306.5992815264032
CODEPESCA,Pesca,M,Ingeniero,36,54740,46734,304.3579500512487
UASD,Educación,F,Profesor,33,54209,76283,292.74389321141825
MOPC,Infraestructura,M,Arquitecto,30,55882,86165,252.37813122206396
MJ,Justicia,F,Abogada,26,34049,72872,225.487300388135
SALUD,Medicina,M,Fisioterapeuta,15,31007,56589,113.89619172252424
CODEPESCA,Pesca,F,Ingeniero,21,58863,66607,189.51254903095202
UASD,Educación,M,Profesor,17,31518,91437,131.49720125481988
MOPC,Infraestructura,F,Arquitecto,16,53673,30460,144.30863731386856
MJ,Justicia,M,Abogada,13,35719,24092,97.9040775766482
SALUD,Medicina,F,Fisioterapeuta,29,46604,45789,255.5176319409646
CODEPESCA,Pesca,M,Ingeniero,10,57206,77362,78.34879132569229
UASD,Educación,F,Profesor,27,41448,32623,236.48784353049814
MOPC,Infraestructura,M,Arquitecto,38,35104,67904,315.75964332360417
MJ,Justicia,F,Abogada,34,52612,28121,300.974651923845
SALUD,Medicina,M,Fisioterapeuta,38,37519,67598,316.5035610640223
CODEPESCA,Pesca,F,Ingeniero,5,43564,55072,45.25860958871662
UASD,Educación,M,Profesor,19,56817,27080,156.7257421126951
MOPC,Infraestructura,F,Arquitecto,39,57020,86233,345.93845639425314
MJ,Justicia,M,Abogada,23,31503,86585,183.8233832007061
SALUD,Medicina,F,Fisioterapeuta,6,45983,98284,54.724121095891185
CODEPESCA,Pesca,M,Ingeniero,37,57849,49224,314.03512785108944
UASD,Educación,F,Profesor,27,46785,28614,238.1297096139723
MOPC,Infraestructura,M,Arquitecto,35,39807,92123,291.0425916476193
MJ,Justicia,F,Abogada,33,45266,81420,289.993264378336
SALUD,Medicina,M,Fisioterapeuta,16,31120,64895,122.65280072138032
CODEPESCA,Pesca,F,Ingeniero,25,32567,96382,216.30898398280593
UASD,Educación,M,Profesor,21,50258,84426,172.15270172336216
MOPC,Infraestructura,F,Arquitecto,8,33217,48745,68.23777887905364
MJ,Justicia,M,Abogada,14,32009,21707,105.48304785019653
SALUD,Medicina,F,Fisioterapeuta,14,40749,70542,122.8892381725996
CODEPESCA,Pesca,M,Ingeniero,6,53423,49757,42.296401653756845
UASD,Educación,F,Profesor,6,59456,49392,58.86752967088569
MOPC,Infraestructura,M,Arquitecto,34,56218,76944,287.36855082538216
MJ,Justicia,F,Abogada,38,30407,56385,329.02702209423865
SALUD,Medicina,M,Fisioterapeuta,21,30574,85362,166.09361275102125
CODEPESCA,Pesca,F,Ingeniero,22,46020,95081,194.2854075119354
UASD,Educación,M,Profesor,38,46433,38095,319.2467267145938
MOPC,Infraestructura,F,Arquitecto,28,59580,31871,250.7854246273282
MJ,Justicia,M,Abogada,11,41228,71047,82.15696095345396
SALUD,Medicina,F,Fisioterapeuta,3,44113,91075,27.98745546133932
CODEPESCA,Pesca,M,Ingeniero,15,53653,86844,120.86619421142308
UASD,Educación,F,Profesor,3,37032,64793,25.806774395164144
MOPC,Infraestructura,M,Arquitecto,15,33318,63695,114.60807325383108
MJ,Justicia,F,Abogada,9,58591,33508,84.76881725318444
SALUD,Medicina,M,Fisioterapeuta,39,36749,69233,324.9881703259056
CODEPESCA,Pesca,F,Ingeniero,3,37305,24943,25.8908999331235
UASD,Educación,M,Profesor,25,49881,72015,206.9239324600833
MOPC,Infraestructura,F,Arquitecto,36,56937,77864,319.74757485537856
MJ,Justicia,M,Abogada,12,41683,60336,91.01885601490422
SALUD,Medicina,F,Fisioterapeuta,11,40128,81761,96.53263401740345
CODEPESCA,Pesca,M,Ingeniero,26,43310,70053,213.62452756849513
UASD,Educación,F,Profesor,36,39503,55789,314.3851552447148
MOPC,Infraestructura,M,Arquitecto,12,44052,86562,91.74758417532556
MJ,Justicia,F,Abogada,18,41973,91666,158.15330727138965
SALUD,Medicina,M,Fisioterapeuta,17,52558,41526,137.9729751798247
CODEPESCA,Pesca,F,Ingeniero,36,48652,44342,317.20017469491364
UASD,Educación,M,Profesor,1,49906,95402,0.21194726882497855
MOPC,Infraestructura,F,Arquitecto,16,51773,75606,143.72420779382225
MJ,Justicia,M,Abogada,36,55507,51783,304.59364671688223
SALUD,Medicina,F,Fisioterapeuta,21,35013,24853,182.17524927588315
CODEPESCA,Pesca,M,Ingeniero,30,40939,20672,247.78214734349928
UASD,Educación,F,Profesor,15,34417,30807,129.66085460146888
MOPC,Infraestructura,M,Arquitecto,7,50865,80843,50.23159804148571
MJ,Justicia,F,Abogada,24,35412,25748,208.46355870078483
SALUD,Medicina,M,Fisioterapeuta,35,54856,29700,295.6718045156431
CODEPESCA,Pesca,F,Ingeniero,17,50700,56533,152.11595737655762
UASD,Educación,M,Profesor,32,51917,88648,268.6027840802215
MOPC,Infraestructura,F,Arquitecto,18,50881,36800,160.89343044252357
MJ,Justicia,M,Abogada,11,45742,76467,83.54562038936312
SALUD,Medicina,F,Fisioterapeuta,36,32230,76849,312.14497902411097
CODEPESCA,Pesca,M,Ingeniero,25,50888,31156,207.23368010570783
UASD,Educación,F,Profesor,8,54230,49204,74.70597445276442
MOPC,Infraestructura,M,Arquitecto,38,50060,26031,320.3623719089138
MJ,Justicia,F,Abogada,18,46139,98233,159.43481739828172
SALUD,Medicina,M,Fisioterapeuta,9,53107,50673,68.36618591655566
CODEPESCA,Pesca,F,Ingeniero,14,49962,72162,125.72355725423402
UASD,Educación,M,Profesor,1,58141,38051,0.21437177416382552
MOPC,Infraestructura,F,Arquitecto,1,52966,82146,13.250267100743237
MJ,Justicia,M,Abogada,19,56890,67695,156.74817478100175
SALUD,Medicina,F,Fisioterapeuta,25,37333,91768,217.7771048734197
CODEPESCA,Pesca,M,Ingeniero,4,39222,22961,20.485112718275936
UASD,Educación,F,Profesor,32,42971,63004,280.5655365726975
MOPC,Infraestructura,M,Arquitecto,8,40013,91009,55.61711939366825
MJ,Justicia,F,Abogada,23,39103,27950,200.87866790083908
SALUD,Medicina,M,Fisioterapeuta,20,50548,58983,163.52010565947086
CODEPESCA,Pesca,F,Ingeniero,26,35345,89651,225.88652084013574
UASD,Educación,M,Profesor,37,42972,91584,309.46034374033746
MOPC,Infraestructura,F,Arquitecto,21,42931,96633,184.6134496858144
MJ,Justicia,M,Abogada,18,42445,31703,143.58407062507663
SALUD,Medicina,F,Fisioterapeuta,18,51574,37341,161.1065934200984
CODEPESCA,Pesca,M,Ingeniero,34,48593,75393,285.02393694326355
UASD,Educación,F,Profesor,13,32387,73009,111.59178185481497
MOPC,Infraestructura,M,Arquitecto,22,30364,50430,174.75072467734938
MJ,Justicia,F,Abogada,23,45343,61132,202.7989645104278
SALUD,Medicina,M,Fisioterapeuta,5,44112,35025,30.71075374258012
CODEPESCA,Pesca,F,Ingeniero,6,59402,35618,58.85093152031042
UASD,Educación,M,Profesor,29,34472,40870,237.06875791570505
MOPC,Infraestructura,F,Arquitecto,11,47550,85065,98.81624396530118
MJ,Justicia,M,Abogada,12,51861,55358,94.14958950271586
SALUD,Medicina,F,Fisioterapeuta,38,37504,26646,331.21318532560383
CODEPESCA,Pesca,M,Ingeniero,23,59837,94040,192.54094639731778
UASD,Educación,F,Profesor,26,53091,47901,231.34760196723812
MOPC,Infraestructura,M,Arquitecto,13,48181,47091,101.73944026505086
MJ,Justicia,F,Abogada,25,42918,42237,219.49664481479712
SALUD,Medicina,M,Fisioterapeuta,27,58277,43930,226.94873121831353
CODEPESCA,Pesca,F,Ingeniero,1,49745,51640,12.264092376622017
UASD,Educación,M,Profesor,25,34309,33523,202.1313456167531
MOPC,Infraestructura,F,Arquitecto,21,33776,73642,181.79420321174356
MJ,Justicia,M,Abogada,29,40946,33097,239.0625042114434
SALUD,Medicina,F,Fisioterapeuta,7,32500,56452,59.29503486842971
CODEPESCA,Pesca,M,Ingeniero,2,43649,92911,4.547144221915544
UASD,Educación,F,Profesor,31,53723,79511,275.1509630190532
MOPC,Infraestructura,M,Arquitecto,29,37351,49999,237.95560643523453
MJ,Justicia,F,Abogada,2,43998,92135,19.230489581179533
SALUD,Medicina,M,Fisioterapeuta,8,30375,30475,52.647634956780514
CODEPESCA,Pesca,F,Ingeniero,26,46666,99280,229.37130740602885
UASD,Educación,M,Profesor,3,45515,68196,13.693661846780913
MOPC,Infraestructura,F,Arquitecto,22,36172,91679,191.25406860868432
MJ,Justicia,M,Abogada,33,51738,40739,277.2695231318629
SALUD,Medicina,F,Fisioterapeuta,20,38202,67978,174.43578991630673
CODEPESCA,Pesca,M,Ingeniero,11,44603,71793,83.19527027181957
UASD,Educación,F,Profesor,39,37041,36042,339.79236301245965
MOPC,Infraestructura,M,Arquitecto,39,53597,83454,330.17208568130076
MJ,Justicia,F,Abogada,1,44732,71100,10.729260370406662
SALUD,Medicina,M,Fisioterapeuta,24,34108,96106,193.3476290563414
CODEPESCA,Pesca,F,Ingeniero,2,50597,68829,21.2590182129531
UASD,Educación,M,Profesor,12,35056,56373,88.97804631806954
MOPC,Infraestructura,F,Arquitecto,25,38769,41044,218.2194509915317
MJ,Justicia,M,Abogada,2,40826,80606,3.94160261793336
SALUD,Medicina,F,Fisioterapeuta,13,42901,32680,114.829834136732
CODEPESCA,Pesca,M,Ingeniero,12,49375,28971,93.3849096149079
UASD,Educación,F,Profesor,26,50819,69182,230.6487472990564
MOPC,Infraestructura,M,Arquitecto,2,56037,26782,7.997799615903851
MJ,Justicia,F,Abogada,36,34938,64049,312.9791526228902
SALUD,Medicina,M,Fisioterapeuta,3,48038,77335,14.474468689158508
CODEPESCA,Pesca,F,Ingeniero,35,32626,39212,303.5451626256163
UASD,Educación,M,Profesor,28,56100,92616,235.00153799528704
MOPC,Infraestructura,F,Arquitecto,18,45914,47804,159.36560863932885
MJ,Justicia,M,Abogada,16,48143,33182,127.8931470676082
SALUD,Medicina,F,Fisioterapeuta,13,59258,61171,119.86212152576199
CODEPESCA,Pesca,M,Ingeniero,15,47030,81117,118.82899594233534
UASD,Educación,F,Profesor,32,55541,83420,284.4314206163739
MOPC,Infraestructura,M,Arquitecto,36,33973,58771,297.96764869853035
MJ,Justicia,F,Abogada,35,30742,52384,302.9648143759485
SALUD,Medicina,M,Fisioterapeuta,24,43045,96102,196.0994181015341
CODEPESCA,Pesca,F,Ingeniero,18,31263,21127,154.85469622856291
UASD,Educación,M,Profesor,26,50550,79105,215.85151163435586
MOPC,Infraestructura,F,Arquitecto,8,46566,65272,72.34801778006688
MJ,Justicia,M,Abogada,39,52507,91925,329.8368540761561
SALUD,Medicina,F,Fisioterapeuta,21,36995,61494,182.78578549182876
CODEPESCA,Pesca,M,Ingeniero,30,52134,97638,251.2259351546616
UASD,Educación,F,Profesor,26,55106,58434,231.96699469239888
MOPC,Infraestructura,M,Arquitecto,2,59962,32351,9.165846334017248
MJ,Justicia,F,Abogada,33,59109,98023,294.2496476594035
SALUD,Medicina,M,Fisioterapeuta,18,50256,39461,145.9866911414354
CODEPESCA,Pesca,F,Ingeniero,17,37634,58007,148.09542165159942
UASD,Educación,M,Profesor,1,39928,28034,0.21877653657899454
MOPC,Infraestructura,F,Arquitecto,33,35893,72441,287.1079299973782
MJ,Justicia,M,Abogada,35,33745,52629,289.1756150453686
SALUD,Medicina,F,Fisioterapeuta,17,57758,39837,154.28645506392027
CODEPESCA,Pesca,M,Ingeniero,26,45870,29413,214.41196944813655
UASD,Educación,F,Profesor,31,58621,57864,276.6561028733862
MOPC,Infraestructura,M,Arquitecto,29,55379,30014,243.50176895109044
MJ,Justicia,F,Abogada,14,54964,53532,127.26277109743846
SALUD,Medicina,M,Fisioterapeuta,12,36329,37534,89.3701818392092
CODEPESCA,Pesca,F,Ingeniero,26,45968,20101,229.15660645603293
UASD,Educación,M,Profesor,22,35247,48182,176.2548863032133
MOPC,Infraestructura,F,Arquitecto,5,43847,25232,45.345689180689284
MJ,Justicia,M,Abogada,18,33756,26319,140.90839625714946
SALUD,Medicina,F,Fisioterapeuta,24,31065,43106,207.12450676803226
CODEPESCA,Pesca,M,Ingeniero,13,30623,85717,96.3339635765701
UASD,Educación,F,Profesor,9,52351,89963,82.85028840770188
MOPC,Infraestructura,M,Arquitecto,30,37776,96033,246.80832406142412
MJ,Justicia,F,Abogada,5,38592,26739,43.72831164429105
SALUD,Medicina,M,Fisioterapeuta,36,49282,23574,302.67946647154025
CODEPESCA,Pesca,F,Ingeniero,29,41049,60104,253.80858652011457
UASD,Educación,M,Profesor,24,56435,46612,200.21731456229497
MOPC,Infraestructura,F,Arquitecto,16,55646,76554,144.91540258201138
MJ,Justicia,M,Abogada,32,57502,32974,270.3195360152485
SALUD,Medicina,F,Fisioterapeuta,16,51242,35609,143.5608751226935
CODEPESCA,Pesca,M,Ingeniero,31,50464,69239,259.43405083030876
UASD,Educación,F,Profesor,24,51329,56907,213.3620235573773
MOPC,Infraestructura,M,Arquitecto,12,34202,70766,88.71497975479129
MJ,Justicia,F,Abogada,1,38140,64110,8.704972297381952
SALUD,Medicina,M,Fisioterapeuta,34,46035,91838,284.2371102525907
CODEPESCA,Pesca,F,Ingeniero,25,51023,72075,221.98969810952093
UASD,Educación,M,Profesor,36,49717,58879,302.8132700721823
MOPC,Infraestructura,F,Arquitecto,19,34314,52419,164.51632813480958
MJ,Justicia,M,Abogada,36,42324,84152,300.5392240502338
SALUD,Medicina,F,Fisioterapeuta,7,51159,71901,65.03875489039461
CODEPESCA,Pesca,M,Ingeniero,21,50280,52899,172.1594688020153
UASD,Educación,F,Profesor,20,53572,93056,179.16476412823855
MOPC,Infraestructura,M,Arquitecto,33,33589,47053,271.68395988071205
MJ,Justicia,F,Abogada,38,33139,28538,329.86858866435125
SALUD,Medicina,M,Fisioterapeuta,15,55607,59694,121.46674508334851
CODEPESCA,Pesca,F,Ingeniero,33,31781,98287,285.8412675755981
UASD,Educación,M,Profesor,8,49572,62774,58.55617462698348
MOPC,Infraestructura,F,Arquitecto,18,32576,52240,155.25915336859146
MJ,Justicia,M,Abogada,15,46206,25256,118.5755380873258
SALUD,Medicina,F,Fisioterapeuta,32,31558,37729,277.05077412479756
CODEPESCA,Pesca,M,Ingeniero,1,55002,48769,0.21625111928558619
UASD,Educación,F,Profesor,1,58259,88534,14.870012454618378
MOPC,Infraestructura,M,Arquitecto,38,38047,76199,316.66620643335585
MJ,Justicia,F,Abogada,7,51175,65275,65.04367762346527
SALUD,Medicina,M,Fisioterapeuta,1,59735,51469,0.21081244129813734
CODEPESCA,Pesca,F,Ingeniero,31,33466,86861,268.9167149203037
UASD,Educación,M,Profesor,8,52308,71953,59.397961982067876
MOPC,Infraestructura,F,Arquitecto,2,42004,89836,18.617072395082463
MJ,Justicia,M,Abogada,5,58553,42940,35.15147385272141
SALUD,Medicina,F,Fisioterapeuta,25,49516,92481,221.52615322177888
CODEPESCA,Pesca,M,Ingeniero,14,35544,37154,106.57197091950414
UASD,Educación,F,Profesor,4,33607,90980,33.471801244016675
MOPC,Infraestructura,M,Arquitecto,21,56632,45915,174.112476134734
MJ,Justicia,F,Abogada,20,47654,82672,177.34441997053642
SALUD,Medicina,M,Fisioterapeuta,36,35210,45203,298.34869476267
CODEPESCA,Pesca,F,Ingeniero,13,39080,31378,113.65360607328529
UASD,Educación,M,Profesor,20,50461,43446,163.49334493934242
